,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
hamilton,15.493465,14.458593,13.790735,12.61823,11.990024,11.572851,11.334721,11.233556,11.200853,11.1664915,11.10288,11.61488,14.601786,11.768995,10.881687,10.5987625,10.530998,10.585603,10.712999,10.824497,10.861555,10.831177,10.769126,10.703616,10.646753,10.600425,10.562774,10.531403,10.5043335,10.480079,10.457519,10.435799,10.981703,14.388961,11.393703,10.562389,10.346344,10.3700905,10.522915,10.681166,10.757244,10.753305,10.709501,10.658461,10.614462,10.580014,10.553322,10.531982,10.514102,10.498327,10.4837,10.469519,10.455252,10.440495,10.424951,10.408417,10.39077,10.371969
alonso,10.658249,10.31213,9.90476,9.672194,9.589898,9.537992,9.504379,9.48086,9.46215,9.445826,9.43099,9.417368,9.404867,9.3934,10.400381,12.019677,10.087288,9.938845,9.773172,9.681053,9.639618,9.61561,9.594973,9.574845,9.555482,9.537483,9.521157,9.506566,9.493615,9.482141,9.4719515,9.462838,9.454592,9.447016,9.439924,9.433153,9.426562,9.4200325,9.413469,9.406799,10.350067,11.683182,9.962658,9.890328,9.728451,9.64101,9.596312,9.564665,9.536203,9.509233,9.484043,9.461063,9.440483,9.422308,9.406434,9.392702,9.380925,9.3708935
perez,9.907847,9.20903,9.014283,8.947822,8.930043,8.907787,8.884014,8.860975,8.839739,8.820639,8.803661,9.71564,10.653575,9.152641,9.128583,9.021709,8.970501,8.948723,8.934088,8.919865,8.904957,8.889731,8.874724,8.860331,8.846807,8.834304,8.822902,8.812615,8.803411,8.7952175,8.787934,8.781447,8.775641,8.770397,8.7656145,9.614647,10.282045,8.892442,8.8966,8.800474,8.766712,8.756196,8.749453,8.742125,8.733782,8.724841,8.715767,8.706925,8.698602,8.691004,8.684271,8.678475,8.673634,8.669701,8.666597,8.664213,8.662424,8.6611
ricciardo,10.257413,9.439184,9.179944,9.088017,9.070617,9.0536,9.036921,9.020567,9.004324,8.98818,8.972244,8.956714,9.940157,11.07792,9.20861,9.254113,9.166016,9.127556,9.118515,9.11404,9.1073475,9.097833,9.086161,9.073003,9.058819,9.043938,9.028629,9.013143,8.997729,8.982635,8.968093,8.954309,8.941454,8.929653,9.883888,10.711241,8.954108,9.025692,8.934439,8.903842,8.899739,8.898366,8.894634,8.888342,8.880135,8.870569,8.860036,8.84883,8.837224,8.825485,8.81389,8.802701,8.792159,8.782478,8.773825,8.766314,8.759991,8.754852
bottas,10.198444,9.575506,9.308308,9.2026615,9.175919,9.1509075,9.128347,9.108044,9.089351,9.071846,9.055326,9.977997,11.286144,9.39563,9.401308,9.291578,9.238263,9.219673,9.2089405,9.197531,9.184332,9.169958,9.155081,9.140105,9.125248,9.1106415,9.096386,9.082571,9.069292,9.987877,11.096432,9.287639,9.346415,9.245352,9.202382,9.189064,9.180206,9.169643,9.157155,9.143584,9.129616,9.115615,9.101749,9.088079,9.074635,9.061431,9.048505,9.035903,9.023695,9.011962,9.000796,8.990286,8.980506,8.971519,8.963356,8.956023,8.949504,8.943756
kevin_magnussen,10.031422,9.139395,8.969508,8.934866,8.941272,8.940357,8.935072,8.927791,8.919399,8.910055,9.828803,10.641762,9.064849,9.105362,9.037313,9.010817,9.00867,9.010141,9.009941,9.00763,9.003557,8.997932,8.990766,8.981988,8.971535,8.959414,8.945717,8.930628,8.914427,8.897472,8.88018,9.772152,10.463533,8.929507,8.993416,8.92361,8.905546,8.909455,8.914673,8.917617,8.91867,8.918545,8.917597,8.915875,8.913267,8.909605,8.904724,8.898487,8.890801,8.881627,8.870995,8.859007,8.845851,8.8317995,8.817193,8.802426,8.787908,8.77403
max_verstappen,11.983163,11.362299,10.85764,10.455806,10.31845,10.250889,10.214736,10.1883335,10.161825,10.132668,10.101408,10.069332,10.037634,10.007212,9.9787,9.952503,10.990105,13.105236,10.986027,10.653138,10.491619,10.399569,10.350651,10.317312,10.283979,10.2478485,10.209924,10.171528,10.133675,10.097126,10.062473,10.030172,10.000553,9.973828,9.950101,9.929372,10.9709635,12.732091,10.71394,10.49563,10.339033,10.243572,10.189104,10.149784,10.112387,10.074205,10.035681,9.997697,9.960993,9.926136,9.893562,9.863596,9.836456,9.812258,9.791035,9.772748,9.7573,9.744544
sainz,9.7909355,9.068834,8.930878,8.890959,8.884817,8.86861,8.847727,8.826098,8.805688,8.787205,8.770769,8.756325,8.743766,9.613976,10.335722,9.02776,9.019808,8.937391,8.90265,8.88996,8.881037,8.87129,8.860255,8.848376,8.8361635,8.824011,8.812217,8.801005,8.790534,8.780894,8.772125,8.764213,8.757111,8.750745,9.6078005,10.200152,8.917788,8.935843,8.862428,8.838701,8.8334255,8.829999,8.825078,8.818445,8.810448,8.801434,8.791708,8.78156,8.771272,8.76112,8.751358,8.742195,8.733788,8.726242,8.719597,8.713843,8.708927,8.704765
ocon,10.186304,9.302628,9.103746,9.054663,9.058014,9.056877,9.053473,9.049193,9.044165,9.980783,10.926142,9.204256,9.246857,9.180649,9.153363,9.152014,9.154659,9.155574,9.15448,9.151879,9.1480465,9.142992,9.1366,9.128724,9.119253,9.10812,9.095314,9.080893,9.064987,9.962774,10.765709,9.110934,9.176803,9.100242,9.076681,9.07827,9.081566,9.082498,9.081707,9.080114,9.078161,9.075901,9.073191,9.06982,9.065582,9.060278,9.053738,9.045816,9.036415,9.025469,9.01297,8.998974,8.983613,8.967106,8.949757,8.931945,8.914105,8.896696
stroll,9.907185,9.07061,8.922525,8.890855,8.895498,8.889868,8.878297,8.864132,9.789606,10.529369,9.058467,9.0785055,9.005049,8.971832,8.9628315,8.957869,8.951203,8.9421,8.930894,8.9179945,8.903715,8.888351,8.872228,8.855717,8.839217,8.82313,9.724857,10.353304,8.921602,8.965858,8.89572,8.874194,8.874269,8.876327,8.876248,8.873868,8.869589,8.863693,8.856307,8.847502,8.837374,8.826069,8.813803,8.80085,8.787534,8.774208,8.761223,8.748899,8.737502,8.727215,8.718135,8.710281,8.703603,8.697992,8.693318,8.689427,8.686174,8.683422
gasly,10.098137,9.239318,9.056259,9.011127,9.013954,9.010952,9.0048,8.997369,8.989123,8.980007,8.969867,9.8963785,10.780908,9.129181,9.17712,9.109793,9.0836315,9.082333,9.084494,9.084766,9.0828495,9.079189,9.074048,9.067461,9.059364,9.049693,9.038427,9.025623,9.011413,8.996007,9.910213,10.668362,9.054047,9.118418,9.042416,9.017693,9.017817,9.020287,9.020782,9.019599,9.017464,9.014724,9.9628525,10.616315,9.042124,9.062862,8.962169,8.917414,8.9049,8.899516,8.894558,8.889333,8.884224,8.87944,8.874892,8.870329,8.865458,8.859999
leclerc,9.769014,9.191093,9.020472,8.966265,8.953196,8.933179,8.910547,8.888505,8.868437,8.850673,9.784002,10.644779,9.190968,9.162912,9.058308,9.004694,8.980564,8.964312,8.949169,8.933992,8.919069,8.904818,8.891506,8.879265,8.868145,8.85815,8.849238,8.841343,8.834375,8.82823,8.822802,8.817977,8.813654,9.681424,10.405552,9.035881,9.046868,8.957944,8.922929,8.909377,8.89914,8.888283,8.876552,8.864407,8.852317,8.840629,8.829594,8.819397,8.8101635,8.80196,8.794806,8.788675,8.783506,8.779211,8.775684,8.772811,8.7704735,8.768556
norris,9.899305,9.108471,8.962797,8.920008,8.916254,8.9022045,8.882959,8.862173,8.841795,8.822672,8.805096,8.789179,9.669951,10.524673,9.0151825,9.040587,8.96334,8.933087,8.924797,8.918942,8.911085,8.901025,8.889384,8.876768,8.863665,8.850463,8.837496,8.825036,8.813295,8.802421,8.792487,8.783516,9.65351,10.392733,8.896754,8.946381,8.875077,8.856062,8.856235,8.857309,8.8560505,8.85248,8.847056,8.84014,8.831997,8.82287,8.813017,8.802718,8.792263,8.781932,8.77198,8.762616,8.753995,8.74621,8.739299,8.733244,8.727995,8.723472
russell,9.83823,9.126926,8.959345,8.91152,8.90625,8.893143,8.876024,8.858093,8.840893,8.824984,9.774427,10.60449,9.085951,9.099531,9.012622,8.971176,8.95587,8.945741,8.934872,8.922531,8.909181,8.895372,8.881521,8.867945,8.854898,8.842599,8.8312235,8.82089,8.811662,8.803547,8.796501,8.790442,9.68706,10.40132,8.9379425,8.97968,8.902912,8.877491,8.872432,8.86914,8.863976,8.856823,8.8481245,8.838281,8.827603,8.81638,8.804894,8.793449,8.78233,8.771801,8.762093,8.753375,8.745768,8.739321,8.734029,8.729828,8.726617,8.724261
albon,10.012722,9.197796,9.040977,9.002045,9.006289,9.000341,8.989115,8.975611,8.9610405,8.945836,8.93018,8.914277,8.89842,8.882931,9.74527,10.62953,9.041608,9.095972,9.035066,9.017848,9.021349,9.025502,9.026206,9.023581,9.0182705,9.010744,9.001281,8.990093,8.977415,8.96352,8.948734,8.933421,8.917963,8.902735,8.888084,9.756248,10.5257,8.945711,9.019629,8.955854,8.943648,8.951946,8.96039,8.965624,8.96808,8.968469,8.967171,8.964306,8.959866,8.953825,8.946176,8.9369545,8.926252,8.914227,8.9011,8.887169,8.872776,8.858311
tsunoda,10.041161,9.215929,9.034653,8.9872875,8.987147,8.980486,8.970154,8.958438,8.946239,8.933808,8.921177,8.908409,8.895656,9.850063,10.700474,9.076422,9.128905,9.061957,9.0366955,9.034235,9.034201,9.032049,9.027651,9.021494,9.013901,9.005002,8.994856,8.983534,8.971167,8.957954,8.944159,8.930082,8.91606,9.871094,10.594796,8.99446,9.065514,8.994246,8.971532,8.970874,8.971733,8.97045,8.96734,8.96307,8.957987,8.95215,8.945483,8.937876,8.929243,8.919551,8.908824,8.897157,8.88471,8.871714,8.858454,8.845251,8.832447,8.820372
zhou,10.054132,9.244458,9.089141,9.050927,9.056279,9.052037,9.043141,9.032358,9.924806,10.819302,9.178941,9.225026,9.163864,9.139451,9.137977,9.13884,9.136904,9.132046,9.12484,9.115673,9.104702,9.091997,9.077642,9.061782,9.044621,9.026442,9.007583,9.876624,10.685404,9.070946,9.138903,9.07196,9.055255,9.061274,9.067835,9.07111,9.071644,9.070248,9.067328,9.0629635,9.05709,9.049611,9.04046,9.0296135,9.017105,9.003033,8.987568,8.970963,8.953528,8.935647,8.917728,8.900204,8.88347,8.867872,8.853676,8.841051,8.830074,8.820728
piastri,9.868488,9.0977745,8.971335,8.939459,8.941897,8.93221,8.916344,8.898365,8.88028,8.862907,8.846534,9.748766,10.505335,9.033121,9.063303,8.995464,8.968338,8.962159,8.958084,8.951766,8.943038,8.932473,8.920616,8.907903,8.894703,8.881371,8.868237,8.855596,8.843687,8.83268,8.822678,8.813718,8.8057785,9.67488,10.335117,8.885925,8.937287,8.874692,8.861206,8.865351,8.869675,8.871468,8.87095,8.868572,8.864609,8.859209,8.852503,8.844654,8.835882,8.826445,8.816635,8.806751,8.797078,8.787865,8.779307,8.771546,8.764656,8.758651
sargeant,10.281796,9.1765175,9.02511,8.983366,8.980782,8.971933,8.959127,8.944625,8.92985,9.830725,10.693006,9.06386,9.09315,9.022569,8.99436,8.986956,8.982172,8.975948,8.968162,8.959282,8.949648,8.939437,8.928736,8.917621,8.906183,8.894526,8.882771,9.775012,10.5460415,8.940283,8.988369,8.921028,8.904487,8.906559,8.909294,8.9098425,8.908482,8.905739,8.901928,9.82185,10.421098,8.834808,8.874572,8.795163,8.770502,8.769061,8.77136,8.773139,8.7740345,8.774311,8.774117,8.773437,8.772184,8.770286,8.767697,8.76441,8.760453,8.755875
