,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
hamilton,15.493527,14.458677,13.7908,12.618265,11.990034,11.572842,11.334698,11.233522,11.200817,11.166454,11.10284,11.0165,10.923277,10.834799,10.75631,10.688777,11.191485,14.433044,11.567116,10.722483,10.473772,10.440832,10.535385,10.691263,10.805483,10.832386,10.794531,10.732155,10.671162,10.620557,10.580462,10.548384,10.521822,10.498881,10.478188,10.458733,10.439747,10.420652,10.401013,10.380517,10.358971,10.336283,10.312462,10.2876,10.261869,10.2354965,10.208757,10.181961,10.155424,10.129477,10.104436,10.080612,10.058296,10.037752,10.019223,10.0029125,9.988989,9.977578
alonso,10.658249,10.31213,9.90476,9.672194,9.589898,9.537992,9.504379,9.48086,9.46215,9.445826,9.43099,9.417368,9.404867,9.3934,9.382848,9.373072,10.3617325,11.95845,10.071936,9.932003,9.766911,9.676024,9.634656,9.610056,9.588788,9.568142,9.548371,9.530041,9.513455,9.498662,9.485562,9.473997,9.463766,9.4546585,9.446461,9.43897,9.431995,9.425368,9.41894,9.412589,9.406214,9.399738,9.393106,9.386285,9.379255,9.372022,9.364599,9.357019,9.349319,9.341551,9.333766,9.326023,9.318382,9.310894,9.303618,9.296601,9.289886,9.283508
perez,9.907838,9.20903,9.014282,8.947821,8.93004,8.907785,8.884014,8.860975,8.839741,8.82064,8.803661,8.788721,8.775698,8.764454,8.7548065,8.7465515,9.604889,10.512824,9.093685,9.076724,8.978503,8.937509,8.921805,8.911108,8.900171,8.88832,8.875933,8.863475,8.851297,8.839645,8.828682,8.818507,8.809164,8.800657,8.792947,8.785973,8.779658,8.773918,8.768665,8.763818,8.759299,8.755045,8.750999,8.74712,8.743366,8.7397175,8.736151,8.732654,8.729218,8.725841,8.722517,8.719254,8.716053,8.712916,8.709852,8.706863,8.703957,8.701141
ricciardo,10.231676,9.428592,9.171261,9.079882,9.061841,9.044144,9.026787,9.009861,8.993214,8.976849,8.960862,8.945438,8.930794,8.917117,8.904554,8.893174,9.83909,10.9271755,9.15064,9.197944,9.113501,9.080966,9.074536,9.07126,9.065662,9.057409,9.047136,9.035458,9.022815,9.0095415,8.995917,8.982191,8.968599,8.9553585,8.942661,8.930678,8.919533,8.909317,8.90007,8.891793,8.884449,8.877968,8.872263,8.867234,8.862778,8.858795,8.855196,8.8519,8.848841,8.845964,8.843227,8.840598,8.838055,8.83558,8.833165,8.830807,8.828503,8.826255
bottas,10.172289,9.564774,9.299057,9.194668,9.167699,9.142382,9.1194725,9.098869,9.079973,9.062365,9.045826,9.0303135,9.015877,9.002564,8.990408,8.979402,9.863405,11.112207,9.328006,9.342068,9.237501,9.1907015,9.174712,9.16494,9.154438,9.142428,9.12948,9.116187,9.102904,9.089826,9.07706,9.064683,9.052757,9.04134,9.030487,9.020243,9.010649,9.00173,8.993502,8.985963,8.979096,8.972876,8.96726,8.962204,8.957657,8.9535675,8.9498825,8.946554,8.943538,8.940792,8.938284,8.935981,8.933859,8.931898,8.93008,8.928392,8.926828,8.925379
kevin_magnussen,10.013723,9.130209,8.962711,8.928652,8.934726,8.933313,8.92743,8.919516,8.910511,8.900597,8.88971,8.87785,8.865128,8.851763,8.838041,8.8242855,9.698136,10.474705,8.9643755,9.015888,8.954113,8.937624,8.941729,8.947262,8.950478,8.951412,8.950521,8.948042,8.944012,8.938377,8.931088,8.92215,8.911622,8.899653,8.88647,8.872366,8.857697,8.842853,8.828219,8.814159,8.80097,8.788875,8.778006,8.768408,8.760055,8.752863,8.746712,8.741465,8.736975,8.733109,8.729749,8.726782,8.724127,8.721712,8.719481,8.717398,8.71543,8.713561
max_verstappen,11.983163,11.362299,10.85764,10.455806,10.31845,10.250889,10.214736,10.1883335,10.161825,10.132668,10.101408,10.069332,10.037634,10.007212,9.9787,9.952503,10.990105,13.105236,10.986027,10.653138,10.491619,10.399569,10.350651,10.317312,10.283979,10.2478485,10.209924,10.171528,10.133675,10.097126,10.062473,10.030172,10.000553,9.973828,9.950101,9.929372,9.911568,9.896549,9.884131,9.874094,9.866202,9.860207,9.855861,9.852926,9.851177,9.850405,9.850414,9.85104,9.852124,9.85354,9.855173,9.856925,9.858717,9.860484,9.862167,9.863728,9.865126,9.866338
sainz,9.790926,9.068834,8.930876,8.890956,8.884815,8.868609,8.847725,8.8260975,8.805685,8.787205,8.770768,8.756325,8.743766,8.732954,8.723711,8.715839,9.555868,10.266038,8.99678,8.99204,8.9144,8.885067,8.875801,8.869324,8.8617,8.852627,8.842537,8.831888,8.821051,8.810318,8.799921,8.79004,8.780798,8.772262,8.764452,8.757355,8.750922,8.7450905,8.739789,8.734941,8.730476,8.726328,8.722441,8.718765,8.715264,8.711906,8.708671,8.705538,8.7024975,8.699543,8.6966715,8.69388,8.691172,8.688547,8.686009,8.683565,8.681215,8.678967
ocon,10.166492,9.291283,9.095615,9.047497,9.050629,9.049022,9.045,9.040039,9.034317,9.027616,9.019677,9.010362,8.999657,8.987659,8.974552,8.960583,9.850447,10.738298,9.100686,9.162718,9.1010895,9.08303,9.087458,9.093474,9.096943,9.098127,9.097696,9.095998,9.0930805,9.08886,9.083207,9.076013,9.067198,9.056734,9.044651,9.03104,9.016069,8.999979,8.983076,8.965729,8.948341,8.931326,8.915062,8.899885,8.886042,8.873688,8.862888,8.853621,8.8458,8.83929,8.83393,8.829552,8.825989,8.823091,8.820723,8.818773,8.817147,8.815775
stroll,9.8891735,9.061799,8.915453,8.884021,8.888229,8.882058,8.869904,8.85521,8.83967,8.823977,8.808422,8.79324,8.778685,8.764996,8.752372,8.740929,9.59394,10.302139,8.931722,8.961253,8.897926,8.87989,8.880697,8.882667,8.882223,8.879243,8.874118,8.867179,8.858678,8.848843,8.837936,8.82626,8.814134,8.801888,8.789839,8.778259,8.767365,8.757315,8.748191,8.740015,8.732761,8.726358,8.720718,8.715736,8.711309,8.707338,8.703737,8.700428,8.69735,8.694453,8.691699,8.689062,8.686518,8.684057,8.681668,8.679353,8.677104,8.674927
gasly,10.175912,9.281707,9.086987,9.038694,9.042715,9.041779,9.038224,9.033577,9.028094,9.021619,9.013921,9.004872,8.994469,8.982813,8.970094,8.956572,9.8358135,10.750954,9.072624,9.138685,9.076448,9.059659,9.065586,9.072934,9.077564,9.079777,9.080266,9.079386,9.077195,9.073607,9.068504,9.061786,9.053387,9.043303,9.031584,9.018357,9.003821,8.988253,8.971989,8.955418,8.938954,8.922998,8.90791,8.893986,8.881428,8.870352,8.860783,8.852671,8.845907,8.840351,8.835842,8.832218,8.829326,8.827025,8.825197,8.823743,8.822581,8.821648
